"from","to"
"Statistical inference","Missing data"
"Statistical inference","Reliability engineering"
"Statistical inference","Epidemiology"
"Statistical inference","Logistic regression"
"Statistical inference","Outline of statistics"
"Statistical inference","Multivariate adaptive regression splines"
"Statistical inference","Berry–Esseen theorem"
"Statistical inference","Semiparametric model"
"Statistical inference","Optimal design"
"Statistical inference","Control chart"
"Statistical inference","Probability distribution"
"Statistical inference","Durbin–Watson statistic"
"Statistical inference","Geostatistics"
"Statistical inference","Bayesian inference"
"Statistical inference","System identification"
"Statistical inference","F-test"
"Statistical inference","Scan statistic"
"Statistical inference","Hodges–Lehmann estimator"
"Statistical inference","Akaike information criterion"
"Statistical inference","Generalized estimating equation"
"Statistical inference","Confounding"
"Statistical inference","Proportional hazards model"
"Statistical inference","Cartography"
"Statistical inference","Nonparametric statistics"
"Statistical inference","Econometrics"
"Statistical inference","Frequency domain"
"Statistical inference","L-moment"
"Statistical inference","Census"
"Statistical inference","Factorial experiment"
"Statistical inference","Replication (statistics)"
"Statistical inference","Kaplan–Meier estimator"
"Statistical inference","Interquartile range"
"Statistical inference","Statistical dispersion"
"Statistical inference","Geometric mean"
"Statistical inference","Mann–Whitney U test"
"Statistical inference","Randomization"
"Statistical inference","Point estimation"
"Statistical inference","Heteroscedasticity"
"Statistical inference","Mode (statistics)"
"Statistical inference","Density estimation"
"Statistical inference","Probabilistic design"
"Statistical inference","Survey sampling"
"Statistical inference","Failure rate"
"Statistical inference","Statistical model"
"Statistical inference","Binomial regression"
"Statistical inference","Poisson regression"
"Statistical inference","Moment (mathematics)"
"Statistical inference","Autoregressive–moving-average model"
"Statistical inference","Likelihood-ratio test"
"Statistical inference","Medical statistics"
"Statistical inference","Cohen's kappa"
"Statistical inference","Simultaneous equations model"
"Statistical inference","Coefficient of variation"
"Statistical inference","Least squares"
"Statistical inference","Isotonic regression"
"Statistical inference","Natural experiment"
"Statistical inference","Statistical theory"
"Statistical inference","Predictive inference"
"Statistical inference","Fourier analysis"
"Statistical inference","Seasonal adjustment"
"Statistical inference","Kriging"
"Probability matching","Base rate"
"Pocock boundary","P-value"
"Template:Statistics topics sidebar","List of statistics articles"
"Template:Statistics topics sidebar","Portal:Statistics"
"Template:Statistics topics sidebar","Glossary of probability and statistics"
"Template:Statistics topics sidebar","List of statistics journals"
"Template:Statistics topics sidebar","Outline of statistics"
"Template:Statistics topics sidebar","List of statisticians"
"Variance-gamma distribution","Q-exponential distribution"
"Variance-gamma distribution","Hypoexponential distribution"
"Variance-gamma distribution","Student's t-distribution"
"Variance-gamma distribution","Rademacher distribution"
"Variance-gamma distribution","Negative binomial distribution"
"Variance-gamma distribution","Log-normal distribution"
"Variance-gamma distribution","Wrapped Lévy distribution"
"Variance-gamma distribution","Beta prime distribution"
"Variance-gamma distribution","Normal-gamma distribution"
"Variance-gamma distribution","Bates distribution"
"Variance-gamma distribution","Irwin–Hall distribution"
"Variance-gamma distribution","Multivariate stable distribution"
"Variance-gamma distribution","Tukey lambda distribution"
"Variance-gamma distribution","Phase-type distribution"
"Variance-gamma distribution","Expected value"
"Variance-gamma distribution","Davis distribution"
"Variance-gamma distribution","Random variable"
"Variance-gamma distribution","Voigt profile"
"Variance-gamma distribution","Parabolic fractal distribution"
"Variance-gamma distribution","Normal distribution"
"Variance-gamma distribution","Matrix t-distribution"
"Variance-gamma distribution","Poisson binomial distribution"
"Variance-gamma distribution","Relativistic Breit–Wigner distribution"
"Variance-gamma distribution","Pearson distribution"
"Variance-gamma distribution","Matrix gamma distribution"
"Variance-gamma distribution","Wrapped Cauchy distribution"
"Variance-gamma distribution","Probability distribution"
"Variance-gamma distribution","Delaporte distribution"
"Variance-gamma distribution","Von Mises distribution"
"Variance-gamma distribution","Conway–Maxwell–Poisson distribution"
"Variance-gamma distribution","Exponential-logarithmic distribution"
"Variance-gamma distribution","Beta negative binomial distribution"
"Variance-gamma distribution","Inverse matrix gamma distribution"
"Variance-gamma distribution","Poly-Weibull distribution"
"Variance-gamma distribution","Extended negative binomial distribution"
"Variance-gamma distribution","Categorical distribution"
"Variance-gamma distribution","ARGUS distribution"
"Variance-gamma distribution","Inverse-chi-squared distribution"
"Variance-gamma distribution","Probability density function"
"Variance-gamma distribution","Bingham distribution"
"Variance-gamma distribution","Negative multinomial distribution"
"Variance-gamma distribution","Wrapped exponential distribution"
"Variance-gamma distribution","Scaled inverse chi-squared distribution"
"Variance-gamma distribution","Log-Laplace distribution"
"Variance-gamma distribution","Wishart distribution"
"Variance-gamma distribution","Pareto distribution"
"Variance-gamma distribution","Variance gamma process"
"Variance-gamma distribution","Generalized Pareto distribution"
"Variance-gamma distribution","Kumaraswamy distribution"
"Variance-gamma distribution","Degenerate distribution"
"Variance-gamma distribution","Inverse-gamma distribution"
"Variance-gamma distribution","Zipf–Mandelbrot law"
"Variance-gamma distribution","Erlang distribution"
"Variance-gamma distribution","U-quadratic distribution"
"Variance-gamma distribution","Normal variance-mean mixture"
"Variance-gamma distribution","Logistic distribution"
"Variance-gamma distribution","Logit-normal distribution"
"Variance-gamma distribution","Multivariate normal distribution"
"Variance-gamma distribution","Moment-generating function"
"Variance-gamma distribution","Chi distribution"
"Variance-gamma distribution","Zipf's law"
"Variance-gamma distribution","Beta-binomial distribution"
"Variance-gamma distribution","Dirichlet-multinomial distribution"
"Variance-gamma distribution","Inverse Gaussian distribution"
"Variance-gamma distribution","Tweedie distribution"
"Variance-gamma distribution","Moment (mathematics)"
"Variance-gamma distribution","Elliptical distribution"
"Variance-gamma distribution","Generalized normal distribution"
"Variance-gamma distribution","Noncentral t-distribution"
"Variance-gamma distribution","Truncated normal distribution"
"Variance-gamma distribution","Gumbel distribution"
"Variance-gamma distribution","Beta distribution"
"Variance-gamma distribution","Geometric stable distribution"
"Trispectrum","Spectral density"
"Trispectrum","Skewness"
"Trispectrum","Bispectrum"
"List of statistics articles","Common cause and special cause (statistics)"
"List of statistics articles","Most probable number"
"List of statistics articles","Watterson estimator"
"List of statistics articles","Focused information criterion"
"List of statistics articles","Yates analysis"
"List of statistics articles","Mallows's Cp"
"List of statistics articles","Error bar"
"List of statistics articles","Generalized method of moments"
"List of statistics articles","Bühlmann model"
"List of statistics articles","Actuarial science"
"List of statistics articles","Slutsky's theorem"
"List of statistics articles","Hierarchical clustering"
"List of statistics articles","Mean-preserving spread"
"List of statistics articles","Order of a kernel"
"List of statistics articles","Quadratic classifier"
"List of statistics articles","Pythagorean expectation"
"List of statistics articles","Bayes error rate"
"List of statistics articles","Calculating demand forecast accuracy"
"List of statistics articles","Random effects model"
"List of statistics articles","Bayes' theorem"
"List of statistics articles","Resampling (statistics)"
"List of statistics articles","Auxiliary particle filter"
"List of statistics articles","Slice sampling"
"List of statistics articles","Path space"
"List of statistics articles","Product distribution"
"List of statistics articles","Epidata"
"List of statistics articles","Factorial code"
"List of statistics articles","Sequential probability ratio test"
"List of statistics articles","Bangdiwala's B"
"List of statistics articles","Moffat distribution"
"List of statistics articles","Hoeffding's independence test"
"List of statistics articles","Reversible-jump Markov chain Monte Carlo"
"List of statistics articles","Confounding"
"List of statistics articles","Khmaladze transformation"
"List of statistics articles","Dyadic distribution"
"List of statistics articles","Multiple-try Metropolis"
"List of statistics articles","Kumaraswamy distribution"
"List of statistics articles","Uncertainty coefficient"
