"from","to","weight"
"Category:Summary statistics for contingency tables","Category:Statistical principles",6
"Category:Sensitivity analysis","Category:Point estimation performance",2
"Category:Simultaneous equation methods (econometrics)","Category:Regression variable selection",1
"Category:Covariance and correlation","Category:Statistical inference",166
"Category:Statistical data types","Category:Economic data",4
"Category:Statistical approximations","Category:Applications of Bayesian inference",1
"Category:Ethics and statistics","Category:Statistical theory",12
"Category:Fields of application of statistics","Category:Time series analysis",106
"Category:Categorical data","Category:Psychometrics",102
"Category:Mathematical finance","Category:Markov processes",38
"Category:Operations research","Category:Statistical forecasting",9
"Category:Statistical deviation and dispersion","Category:Multiple comparisons",1
"Category:Environmental statistics","Category:Analysis of variance",16
"Category:Analysis of variance","Category:Sensitivity analysis",1
"Category:Characterization of probability distributions","Category:Poisson processes",2
"Category:Regression diagnostics","Category:Data collection",4
"Category:Fields of application of statistics","Category:Resampling (statistics)",12
"Category:Logic and statistics","Category:Types of probability distributions",7
"Category:Cheminformatics","Category:Evidence-based medicine",4
"Category:Statistical intervals","Category:Causal inference",10
"Category:Medical statistics","Category:Statistical theorems",4
"Category:Characterization of probability distributions","Category:Multivariate continuous distributions",2
"Category:Statistical inference","Category:Monte Carlo methods",28
"Category:Probability distributions","Category:Multivariate discrete distributions",547
"Category:Markov processes","Category:Statistical inference",1
"Category:Engineering statistics","Category:Classification algorithms",8
"Category:Observational study","Category:Engineering statistics",50
"Category:Validity (statistics)","Category:Econometrics",1
"Category:Least squares","Category:Multivariate continuous distributions",1
"Category:Statistical software","Category:Statistical methods",22
"Category:Statistics articles needing expert attention","Category:Cheminformatics",7
"Category:Evidence-based medicine","Category:Types of probability distributions",1
"Category:Psychometrics","Category:Sampling techniques",28
"Category:Psephology","Category:Nonlinear time series analysis",1
"Category:Risk analysis","Category:Estimation of densities",2
"Category:Medical statistics","Category:Statistical principles",7
"Category:Decision theory","Category:Statistical paradoxes",4
"Category:Nonlinear time series analysis","Category:Point processes",3
"Category:Sequential methods","Category:Statistical mechanics",1
"Category:Comparison of assessments","Category:Misuse of statistics",1
"Category:Analysis of variance","Category:Statistical distance measures",13
"Category:Asymptotic statistical theory","Category:Robust statistics",5
"Category:Laymen and statistics","Category:Data collection",1
"Category:Statistical tests","Category:Multivariate time series analysis",25
"Category:Statistical ratios","Category:Robust statistics",48
"Category:Sequential experiments","Category:Mathematical finance",1
"Category:Bayesian networks","Category:Comparison of assessments",1
"Category:Regression variable selection","Category:Cluster analysis",2
"Category:Sampling techniques","Category:Generalized linear models",19
"Category:Operations research","Category:Multivariate time series analysis",3
"Category:Statistical classification","Category:Statistical theory",94
"Category:Forensic statistics","Category:Hypothesis testing",5
"Category:Data clustering algorithms","Category:Bayesian networks",4
"Category:Characterization of probability distributions","Category:Latin squares",4
"Category:Statistical laws","Category:Mathematical finance",2
"Category:Cohort studies","Category:Fields of application of statistics",1
"Category:Multivariate discrete distributions","Category:Statistical deviation and dispersion",2
"Category:Demography","Category:Sampling (statistics)",53
"Category:Econometrics","Category:Comparison of assessments",3
"Category:Psychometrics","Category:Social statistics",7
"Category:Statistical forecasting","Category:Statistical forecasting",29
"Category:Sampling (statistics)","Category:Pharmaceutical statistics",9
"Category:Geostatistics","Category:Survival analysis",24
"Category:Statistical inequalities","Category:Extreme value data",2
"Category:Continuous distributions","Category:Statistical mechanics",283
"Category:Statistical charts and diagrams","Category:Data clustering algorithms",1
"Category:Probability stubs","Category:Normality tests",11
"Category:Continuous distributions","Category:Statistical charts and diagrams",224
"Category:Probability theory","Category:Decision theory",8
"Category:Characterization of probability distributions","Category:Statistical dependence",5
"Category:Causal inference","Category:Discrete distributions",6
"Category:Statistics stubs","Category:Statistics articles needing expert attention",85
"Category:Classification algorithms","Category:F-divergences",2
"Category:Markov chain Monte Carlo","Category:Demography",1
"Category:Normality tests","Category:Covariance and correlation",52
"Category:Bayesian inference","Category:Variance reduction",4
"Category:Statistical forecasting","Category:Stochastic processes",4
"Category:Probability distributions","Category:Operations research",18
"Category:Statistics-related lists","Category:Analysis of variance",99
"Category:Design of experiments","Category:Validity (statistics)",132
"Category:Theory of probability distributions","Category:Geostatistics",38
"Category:Discrete distributions","Category:Data analysis",42
"Category:Theory of probability distributions","Category:Statistical genetics",3
"Category:Time series analysis","Category:Robust regression",19
"Category:Probability stubs","Category:Cluster analysis",2
"Category:Theory of probability distributions","Category:Statistical approximations",7
"Category:Fields of application of statistics","Category:Statistical charts and diagrams",92
"Category:Computational statistics","Category:Quality control",8
"Category:Multivariate continuous distributions","Category:Summary statistics",20
"Category:Multivariate continuous distributions","Category:Multivariate statistics",27
